category,kanji,yomi,note
巨人選手,石川 達也,いしかわ たつや,#65
巨人選手,平内 龍太,ひらうち りゅうた,#66
巨人選手,堀田 賢慎,ほった けんしん,#91
巨人選手,マルティネス,まるてぃねす,#92
巨人選手,井上 温大,いのうえ はると,#97

# === 巨人 捕手 (支配下 6名) ===
巨人選手,甲斐 拓也,かい たくや,#10
巨人選手,小林 誠司,こばやし せいじ,#22
巨人選手,大城 卓三,おおしろ たくみ,#24
巨人選手,岸田 行倫,きしだ ゆきのり,#27
巨人選手,郡 拓也,こおり たくや,#37
巨人選手,山瀬 慎之助,やませ しんのすけ,#67

# === 巨人 内野手 (支配下 14名) ===
巨人選手,湯浅 大,ゆあさ ひろき,#00
巨人選手,増田 大輝,ますだ だいき,#0
巨人選手,吉川 尚輝,きっかわ なおき,#2
巨人選手,門脇 誠,かどわき まこと,#5
巨人選手,坂本 勇人,さかもと はやと,#6
巨人選手,石塚 裕惺,いしづか ゆうせい,#23 高卒2年目
巨人選手,ダルベック,だるべっく,#29 ボビー
巨人選手,浦田 俊輔,うらた しゅんすけ,#32
巨人選手,小濱 佑斗,おばま ゆうと,#33
巨人選手,泉口 友汰,いずぐち ゆうた,#35
巨人選手,リチャード,りちゃーど,#52
巨人選手,荒巻 悠,あらまき はるか,#60
巨人選手,増田 陸,ますだ りく,#61
巨人選手,藤井 健翔,ふじい けんと,#99

# === 巨人 外野手 (支配下 11名) ===
巨人選手,丸 佳浩,まる よしひろ,#8
巨人選手,松本 剛,まつもと ごう,#9
巨人選手,萩尾 匡也,はぎお まさや,#12
巨人選手,キャベッジ,きゃべっじ,#13 トレイ
巨人選手,岡田 悠希,おかだ ゆうき,#38
巨人選手,皆川 岳飛,みながわ たかと,#39
巨人選手,中山 礼都,なかやま らいと,#40
巨人選手,佐々木 俊輔,ささき しゅんすけ,#44
巨人選手,浅野 翔吾,あさの しょうご,#51
巨人選手,若林 楽人,わかばやし がくと,#59
巨人選手,三塚 琉生,みつか るい,#96

# === 巨人 育成選手 (全42名) ===
巨人育成,冨重 英二郎,とみしげ えいじろう,#011
巨人育成,林 燦,はやし さん,#012
巨人育成,堀江 正太郎,ほりえ しょうたろう,#014
巨人育成,鈴木 圭晋,すずき けいしん,#015
巨人育成,千葉 隆広,ちば たかひろ,#016
巨人育成,木下 幹也,きのした みきや,#018
巨人育成,園田 純規,そのだ じゅんき,#019
巨人育成,松井 颯,まつい はやて,#021
巨人育成,田村 朋輝,たむら ともき,#023
巨人育成,吉村 優聖歩,よしむら ゆうせいほ,#026
巨人育成,富田 龍,とみた りゅう,#028
巨人育成,西川 歩,にしかわ あゆむ,#029
巨人育成,吹田 志道,ふきた しどう,#030
巨人育成,森本 哲星,もりもと てっせい,#034
巨人育成,ルシアーノ,るしあーの,#035
巨人育成,黄 錦豪,こう きんごう,#041
巨人育成,グズマン,ぐずまん,#042
巨人育成,河野 優作,こうの ゆうさく,#047
巨人育成,板東 湧梧,ばんどう ゆうご,#050
巨人育成,花田 侑樹,はなだ ゆうき,#063
巨人育成,代木 大和,しろき やまと,#068
巨人育成,石田 隼都,いしだ はやと,#077
巨人育成,石田 充冴,いしだ みつく,#090
巨人育成,京本 眞,きょうもと しん,#099
巨人育成,松井 蓮太朗,まつい れんたろう,#006 育成捕手
巨人育成,喜多 隆介,きた りゅうすけ,#020 育成捕手
巨人育成,亀田 啓太,かめだ けいた,#022 育成捕手
巨人育成,坂本 達也,さかもと たつや,#024 育成捕手
巨人育成,中田 歩夢,なかだ あゆむ,#002 育成内野
巨人育成,村山 源,むらやま げん,#004 育成内野
巨人育成,田上 優弥,たがみ ゆうや,#005 育成内野
巨人育成,宇都宮 葵星,うつのみや あおせ,#007 育成内野
巨人育成,竹下 徠空,たけした らいく,#025 育成内野
巨人育成,北村 流音,きたむら るね,#027 育成内野
巨人育成,平山 功太,ひらやま こうた,#033 育成内野
巨人育成,川原田 純平,かわはらだ じゅんぺい,#067 育成内野
巨人育成,鈴木 大和,すずき やまと,#001 育成外野
巨人育成,知念 大成,ちねん たいせい,#003 育成外野
巨人育成,相澤 白虎,あいざわ びゃっこ,#008 育成外野
巨人育成,ティマ,てぃま,#013 育成外野
巨人育成,フェリス,ふぇりす,#049 育成外野
巨人育成,笹原 操希,ささはら そうき,#069 育成外野

# === 巨人 退団・OB ===
巨人OB,岡本 和真,おかもと かずま,2025年退団 ブルージェイズへ
巨人OB,長嶋 茂雄,ながしま しげお,終身名誉監督
巨人OB,松井 秀喜,まつい ひでき,
巨人OB,川相 昌弘,かわい まさひろ,
巨人OB,篠塚 和典,しのづか かずのり,
巨人OB,二岡 智宏,にお か ともひろ,コーチ
巨人OB,原 辰徳,はら たつのり,
巨人OB,長野 久義,ちょうの ひさよし,フロント入り
巨人OB,菅野 智之,すがの ともゆき,メジャー移籍
巨人OB,内海 哲也,うつみ てつや,コーチ
巨人OB,小谷野 栄一,こやの えいいち,コーチ
巨人OB,杉内 俊哉,すぎうち としや,コーチ

# ===================================================================
# 【阪神タイガース】 主要選手
# ===================================================================
阪神,岩崎 優,いわさき すぐる,#13 抑え
阪神,岩貞 祐太,いわさだ ゆうた,#14
阪神,西 勇輝,にし ゆうき,#16
阪神,伊原 陵人,いはら りょうと,#18
阪神,下村 海翔,しもむら かいと,#19
阪神,大竹 耕太郎,おおたけ こうたろう,#21
阪神,椎葉 剛,しいば つよし,#26
阪神,伊藤 将司,いとう まさし,#27
阪神,今朝丸 裕喜,けさまる ゆうき,#28
阪神,髙橋 遥人,たかはし はると,#29
阪神,門別 啓人,もんべつ けいと,#30
阪神,才木 浩人,さいき ひろと,#35 エース
阪神,村上 頌樹,むらかみ しょうき,#41
阪神,ルーカス,るーかす,#42
阪神,桐敷 拓馬,きりしき たくま,#47
阪神,工藤 泰成,くどう たいせい,#49
阪神,富田 蓮,とみた れん,#50
阪神,早川 太貴,はやかわ たいき,#51
阪神,湯浅 京己,ゆあさ あつき,#65
阪神,石井 大智,いしい だいち,#69
阪神,ドリス,どりす,#98
阪神,モレッタ,もれった,#99
阪神,梅野 隆太郎,うめの りゅうたろう,#2 捕手
阪神,坂本 誠志郎,さかもと せいしろう,#12 捕手
阪神,伏見 寅威,ふしみ とらい,#17 捕手
阪神,中川 勇斗,なかがわ ゆうと,#68 捕手
阪神,木浪 聖也,きなみ せいや,#0 内野
阪神,大山 悠輔,おおやま ゆうすけ,#3 内野
阪神,熊谷 敬宥,くまがい たかひろ,#4 内野
阪神,中野 拓夢,なかの たくむ,#7 内野
阪神,佐藤 輝明,さとう てるあき,#8 内野 主砲
阪神,立石 正広,たていし まさひろ,#9 内野
阪神,糸原 健斗,いとはら けんと,#33 内野
阪神,小幡 竜平,おばた りゅうへい,#38 内野
阪神,森下 翔太,もりした しょうた,#1 外野 主砲
阪神,近本 光司,ちかもと こうじ,#5 外野
阪神,前川 右京,まえかわ うきょう,#58 外野
阪神,島田 海吏,しまだ かいり,#53 外野
阪神,西 純矢,にし じゅんや,育成 外野転向

# ===================================================================
# 【横浜DeNAベイスターズ】 主要選手
# ===================================================================
DeNA,デュプランティエ,でゅぷらんてぃえ,#0 投
DeNA,東 克樹,あずま かつき,#11 エース
DeNA,竹田 祐,たけだ ゆう,#12
DeNA,伊勢 大夢,いせ ひろむ,#13
DeNA,石田 健大,いしだ けんた,#14
DeNA,大貫 晋一,おおぬき しんいち,#16
DeNA,小園 健太,こぞの けんた,#18
DeNA,山﨑 康晃,やまさき やすあき,#19 守護神
DeNA,坂本 裕哉,さかもと ゆうや,#20
DeNA,入江 大生,いりえ たいせい,#22
DeNA,藤浪 晋太郎,ふじなみ しんたろう,#27
DeNA,篠木 健太郎,しのき けんたろう,#30
DeNA,武田 陸玖,たけだ りく,#33
DeNA,佐々木 千隼,ささき ちはや,#41
DeNA,コックス,こっくす,#42
DeNA,森原 康平,もりはら こうへい,#45
DeNA,ルイーズ,るいーず,#49
DeNA,中川 颯,なかがわ はやて,#53
DeNA,石田 裕太郎,いしだ ゆうたろう,#54
DeNA,平良 拳太郎,たいら けんたろう,#59
DeNA,レイノルズ,れいのるず,#62
DeNA,松尾 汐恩,まつお しおん,#5 捕手
DeNA,戸柱 恭孝,とばしら やすたか,#10 捕手
DeNA,山本 祐大,やまもと ゆうだい,#50 捕手
DeNA,東妻 純平,あずま じゅんぺい,#57 捕手
DeNA,林 琢真,はやし たくま,#00 内野
DeNA,牧 秀悟,まき しゅうご,#2 内野 主砲
DeNA,小田 康一郎,おだ こういちろう,#3 内野
DeNA,森 敬斗,もり けいと,#6 内野
DeNA,京田 陽太,きょうだ ようた,#9 内野
DeNA,筒香 嘉智,つつごう よしとも,#25 内野
DeNA,三森 大貴,みつもり ひろき,#26 内野
DeNA,柴田 竜拓,しばた たつひろ,#31 内野
DeNA,石上 泰輝,いしがみ たいき,#44 内野
DeNA,宮﨑 敏郎,みやざき としろう,#51 内野
DeNA,ビシエド,びしえど,#66 内野
DeNA,度会 隆輝,わたらい りゅうき,#4 外野
DeNA,佐野 恵太,さの けいた,#7 外野
DeNA,神里 和毅,かみざと かずき,#8 外野
DeNA,梶原 昂希,かじわら こうき,#58 外野
DeNA,蝦名 達夫,えびな たつお,#61 外野
DeNA,関根 大気,せきね たいき,#63 外野
DeNA,濱 将乃介,はま しょうのすけ,#67 外野
DeNA,ヒュンメル,ひゅんめる,#99 外野

# ===================================================================
# 【中日ドラゴンズ】 主要選手
# ===================================================================
中日,中西 聖輝,なかにし まさき,#11 投
中日,橋本 侑樹,はしもと ゆうき,#13
中日,草加 勝,くさか まさる,#14
中日,櫻井 頼之介,さくらい よりのすけ,#16
中日,柳 裕也,やなぎ ゆうや,#17
中日,髙橋 宏斗,たかはし ひろと,#19 エース
中日,涌井 秀章,わくい ひであき,#20
中日,金丸 夢斗,かねまる ゆめと,#21
中日,大野 雄大,おおの ゆうだい,#22
中日,仲地 礼亜,なかち れいあ,#26
中日,アブレウ,あぶれう,#28
中日,松木平 優太,まつきだいら ゆうた,#29
中日,根尾 昂,ねお あきら,#30 投手転向
中日,松葉 貴大,まつば たかひろ,#38
中日,梅野 雄吾,うめの ゆうご,#46
中日,清水 達也,しみず たつや,#50
中日,藤嶋 健人,ふじしま けんと,#54
中日,松山 晋也,まつやま しんや,#90
中日,メヒア,めひあ,#91
中日,マラー,まらー,#93
中日,石伊 雄太,いしい ゆうた,#9 捕手
中日,木下 拓哉,きのした たくや,#35 捕手
中日,宇佐見 真吾,うさみ しんご,#39 捕手
中日,辻本 倫太郎,つじもと りんたろう,#0 内野
中日,田中 幹也,たなか みきや,#2 内野
中日,高橋 周平,たかはし しゅうへい,#3 内野
中日,カリステ,かりすて,#4 内野
中日,村松 開人,むらまつ かいと,#5 内野
中日,福永 裕基,ふくなが ゆうき,#7 内野
中日,サノー,さのー,#23 内野 新外国人
中日,石川 昂弥,いしかわ たかや,#25 内野
中日,森 駿太,もり しゅんた,#31 内野
中日,土田 龍空,つちだ りゅうく,#45 内野
中日,阿部 寿樹,あべ としき,#48 古巣復帰
中日,樋口 正修,ひぐち まさのぶ,#97 内野
中日,尾田 剛樹,おだ こうき,#00 外野
中日,岡林 勇希,おかばやし ゆうき,#1 外野
中日,大島 洋平,おおしま ようへい,#8 外野
中日,ボスラー,ぼすらー,#24 外野
中日,ブライト 健太,ぶらいと けんた,#42 外野
中日,上林 誠知,かんばやし せいち,#51 外野
中日,細川 成也,ほそかわ せいや,#55 外野 主砲
中日,鵜飼 航丞,うかい こうすけ,#66 外野
中日,能戸 輝夢,のと きむ,#67 外野

# ===================================================================
# 【広島東洋カープ】 主要選手
# ===================================================================
広島,齊藤 汰直,さいとう だなお,#11 投
広島,森浦 大輔,もりうら だいすけ,#13
広島,大瀬良 大地,おおせら だいち,#14
広島,森 翔平,もり しょうへい,#16
広島,常廣 羽也斗,つねひろ はやと,#17
広島,森下 暢仁,もりした まさと,#18 エース
広島,床田 寛樹,とこだ ひろき,#19
広島,栗林 良吏,くりばやし りょうじ,#20 守護神
広島,中﨑 翔太,なかざき しょうた,#21
広島,髙 太一,こう たいち,#22
広島,黒原 拓未,くろはら たくみ,#24
広島,益田 武尚,ますだ たけひさ,#26
広島,佐藤 柳之介,さとう りゅうのすけ,#28
広島,ケムナ 誠,けむな まこと,#29
広島,滝田 一希,たきた かずき,#30
広島,塹江 敦哉,ほりえ あつや,#36
広島,坂倉 将吾,さかくら しょうご,広島 捕手 主軸
広島,會澤 翼,あいざわ つばさ,広島 捕手
広島,小園 海斗,こぞの かいと,広島 内野 主軸
広島,菊池 涼介,きくち りょうすけ,広島 内野
広島,矢野 雅哉,やの まさや,広島 内野
広島,二俣 翔一,ふたまた しょういち,広島 内野
広島,佐々木 泰,ささき たい,広島 内野 ドラ1
広島,秋山 翔吾,あきやま しょうご,広島 外野
広島,末包 昇大,すえかね しょうだい,広島 外野 主砲
広島,中村 奨成,なかむら しょうせい,広島 外野
広島,ファビアン,ふぁびあん,広島 外野
広島,大盛 穂,おおもり みのる,広島 外野
広島,田村 俊介,たむら しゅんすけ,広島 外野

# ===================================================================
# 【東京ヤクルトスワローズ】 主要選手
# ===================================================================
ヤクルト,奥川 恭伸,おくがわ やすのぶ,ヤクルト 投
ヤクルト,小川 泰弘,おがわ やすひろ,ヤクルト 投
ヤクルト,高橋 奎二,たかはし けいじ,ヤクルト 投
ヤクルト,吉村 貢司郎,よしむら こうしろう,ヤクルト 投
ヤクルト,石川 雅規,いしかわ まさのり,ヤクルト 投 ベテラン
ヤクルト,村上 雅則,むらかみ まさのり,ヤクルト 投
ヤクルト,木澤 尚文,きざわ なおふみ,ヤクルト 投
ヤクルト,星 知弥,ほし ともや,ヤクルト 投
ヤクルト,清水 昇,しみず のぼる,ヤクルト 投
ヤクルト,田口 麗斗,たぐち かずと,ヤクルト 投
ヤクルト,増居 翔太,ますい しょうた,ヤクルト 投 ドラ4ルーキー
ヤクルト,中村 悠平,なかむら ゆうへい,ヤクルト 捕手
ヤクルト,内山 壮真,うちやま そうま,ヤクルト 捕手
ヤクルト,村上 宗隆,むらかみ むねたか,ヤクルト #55 4番
ヤクルト,山田 哲人,やまだ てつと,ヤクルト #1 主砲
ヤクルト,長岡 秀樹,ながおか ひでき,ヤクルト 内野
ヤクルト,北村 恵吾,きたむら けいご,ヤクルト 内野
ヤクルト,西川 遥輝,にしかわ はるき,ヤクルト 外野
ヤクルト,並木 秀尊,なみき ひでたか,ヤクルト 外野
ヤクルト,塩見 泰隆,しおみ やすたか,ヤクルト 外野
ヤクルト,オスナ,おすな,ヤクルト 内野 主軸
ヤクルト,サンタナ,さんたな,ヤクルト 外野 主軸
ヤクルト,赤羽 由紘,あかばね よしひろ,ヤクルト 内野
ヤクルト,武岡 龍世,たけおか りゅうせい,ヤクルト 内野
ヤクルト,丸山 和郁,まるやま かずや,ヤクルト 外野
ヤクルト,田中 陽翔,たなか はると,ヤクルト 高卒2年目

# === 他リーグ参考 (パ・リーグ主要選手・侍ジャパン関連) ===
他球団,大谷 翔平,おおたに しょうへい,メジャー
他球団,佐々木 朗希,ささき ろうき,メジャー
他球団,山本 由伸,やまもと よしのぶ,メジャー
他球団,鈴木 誠也,すずき せいや,メジャー
他球団,海野 隆司,うみの たかし,ソフトバンク 捕手
他球団,工藤 公康,くどう きみやす,解説者
他球団,山本 昌,やまもと まさ,解説者
他球団,清水 隆行,しみず たかゆき,元巨人 解説者

# ===================================================================
# 野球指標 (英語表記)
# ===================================================================
指標,WAR,ウォー,
指標,OPS,オーピーエス,
指標,BABIP,ばびっぷ,
指標,FIP,フィップ,
指標,WHIP,ウィップ,
指標,UZR,ユージーアール,
指標,IsoP,アイソピー,純粋長打力
指標,IsoD,アイソディー,選球眼
指標,wOBA,ダブリューオーバ,使用非推奨
指標,K/9,ケーパーナイン,9イニング奪三振
指標,BB/9,ビービーパーナイン,9イニング四球
指標,BB/K,ビービーケー,選球眼比率
指標,RC27,アールシーにじゅうなな,
指標,XR,エックスアール,
指標,QS,キューエス,クオリティスタート

# ===================================================================
# 野球用語 (誤読しやすい)
# ===================================================================
野球用語,四球,しきゅう,「よんきゅう」NG
野球用語,死球,しきゅう,デッドボール
野球用語,奪三振,だっさんしん,
野球用語,自責点,じせきてん,
野球用語,被本塁打,ひほんるいだ,
野球用語,被打率,ひだりつ,
野球用語,失策,しっさく,エラー
野球用語,失点,しってん,
野球用語,失投,しっとう,
野球用語,完投,かんとう,
野球用語,完封,かんぷう,
野球用語,左腕,さわん,「ひだりうで」NG
野球用語,右腕,うわん,
野球用語,継投,けいとう,
野球用語,救援,きゅうえん,
野球用語,守護神,しゅごしん,
野球用語,先発,せんぱつ,
野球用語,中継ぎ,なかつぎ,
野球用語,抑え,おさえ,
野球用語,代打,だいだ,
野球用語,代走,だいそう,「だいばしり」NG
野球用語,守備固め,しゅびがため,
野球用語,犠打,ぎだ,
野球用語,犠飛,ぎひ,
野球用語,犠牲フライ,ぎせいふらい,
野球用語,送りバント,おくりばんと,
野球用語,スクイズ,すくいず,
野球用語,牽制,けんせい,
野球用語,盗塁,とうるい,
野球用語,盗塁阻止率,とうるいそしりつ,
野球用語,得点圏,とくてんけん,
野球用語,残塁,ざんるい,
野球用語,長打率,ちょうだりつ,
野球用語,出塁率,しゅつるいりつ,
野球用語,打率,だりつ,
野球用語,打点,だてん,
野球用語,得点,とくてん,
野球用語,本塁打,ほんるいだ,「ほんるいうち」NG
野球用語,二塁打,にるいだ,
野球用語,三塁打,さんるいだ,
野球用語,単打,たんだ,
野球用語,長打,ちょうだ,
野球用語,安打,あんだ,
野球用語,連打,れんだ,
野球用語,猛打賞,もうだしょう,
野球用語,打席,だせき,
野球用語,打数,だすう,
野球用語,出場,しゅつじょう,
野球用語,登板,とうばん,
野球用語,先発登板,せんぱつとうばん,
野球用語,救援登板,きゅうえんとうばん,
野球用語,投球回,とうきゅうかい,
野球用語,被安打,ひあんだ,
野球用語,与四球,よしきゅう,
野球用語,与死球,よしきゅう,
野球用語,セーブ,せーぶ,
野球用語,ホールド,ほーるど,
野球用語,登録抹消,とうろくまっしょう,
野球用語,二軍,にぐん,
野球用語,一軍,いちぐん,
野球用語,昇格,しょうかく,
野球用語,降格,こうかく,
野球用語,ファーム,ふぁーむ,
野球用語,ローテーション,ろーてーしょん,
野球用語,シート打撃,しーとだげき,
野球用語,内野安打,ないやあんだ,
野球用語,流し打ち,ながしうち,
野球用語,引っ張り,ひっぱり,
野球用語,逆方向,ぎゃくほうこう,
野球用語,センター返し,せんたーがえし,
野球用語,投手戦,とうしゅせん,
野球用語,打撃戦,だげきせん,
野球用語,完全試合,かんぜんじあい,
野球用語,ノーヒットノーラン,のーひっとのーらん,
野球用語,人的補償,じんてきほしょう,
野球用語,自由契約,じゆうけいやく,
野球用語,戦力外,せんりょくがい,
野球用語,現役ドラフト,げんえきどらふと,

# ===================================================================
# 球種・配球
# ===================================================================
球種,直球,ちょっきゅう,
球種,速球,そっきゅう,
球種,カーブ,かーぶ,
球種,スライダー,すらいだー,
球種,フォーク,ふぉーく,
球種,スプリット,すぷりっと,
球種,シンカー,しんかー,
球種,シュート,しゅーと,
球種,カットボール,かっとぼーる,
球種,ツーシーム,つーしーむ,
球種,フォーシーム,ふぉーしーむ,
球種,チェンジアップ,ちぇんじあっぷ,
球種,ナックル,なっくる,
球種,スプリッター,すぷりったー,
球種,ストレート,すとれーと,
球種,ストレート系,すとれーとけい,

# ===================================================================
# 球団名 (TTS で読み間違いやすい)
# ===================================================================
球団,ジャイアンツ,じゃいあんつ,巨人
球団,タイガース,たいがーす,阪神
球団,カープ,かーぷ,広島
球団,ベイスターズ,べいすたーず,DeNA
球団,スワローズ,すわろーず,ヤクルト
球団,ドラゴンズ,どらごんず,中日
球団,ホークス,ほーくす,ソフトバンク
球団,ファイターズ,ふぁいたーず,日本ハム
球団,マリーンズ,まりーんず,ロッテ
球団,イーグルス,いーぐるす,楽天
球団,バファローズ,ばふぁろーず,オリックス
球団,ライオンズ,らいおんず,西武
球団,巨人,きょじん,
球団,阪神,はんしん,
球団,広島,ひろしま,
球団,中日,ちゅうにち,
球団,横浜,よこはま,
球団,ヤクルト,やくると,

# ===================================================================
# 球場・関連用語
# ===================================================================
球場,東京ドーム,とうきょうどーむ,
球場,甲子園,こうしえん,
球場,神宮,じんぐう,
球場,神宮球場,じんぐうきゅうじょう,
球場,ナゴヤドーム,なごやどーむ,
球場,バンテリンドーム,ばんてりんどーむ,
球場,京セラドーム,きょうせらどーむ,
球場,エスコンフィールド,えすこんふぃーるど,
球場,マツダスタジアム,まつだすたじあむ,
球場,横浜スタジアム,よこはますたじあむ,
球場,ハマスタ,はますた,
球場,楽天モバイル,らくてんもばいる,
球場,ZOZOマリン,ぞぞまりん,
球場,ベルーナドーム,べるーなどーむ,
球場,みずほPayPay,みずほぺいぺい,

# === 関連用語 ===
その他,セ・リーグ,せりーぐ,
その他,パ・リーグ,ぱりーぐ,
その他,セリーグ,せりーぐ,
その他,パリーグ,ぱりーぐ,
その他,FA,エフエー,フリーエージェント
その他,WBC,ダブリュービーシー,
その他,ドラフト,どらふと,
その他,オープン戦,おーぷんせん,
その他,キャンプ,きゃんぷ,
その他,DH,ディーエッチ,指名打者
その他,侍ジャパン,さむらいじゃぱん,
その他,日本シリーズ,にほんしりーず,
その他,クライマックスシリーズ,くらいまっくすしりーず,
その他,CS,シーエス,
